campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Indiana University Bloomington,ChIJY1yB5NJmbIgRZn7E2oF5gVQ,State On Campus Bloomington,https://stateoncampus.com/bloomington/?utm_source=GoogleMyBusiness,Apartment complex,,2036 N Walnut St,Bloomington,47404,Indiana,39.1848458,-86.5328754,True
Indiana University Bloomington,ChIJPb8SbdpnbIgR82bkOLSKtZM,The Standard at Bloomington,https://www.thestandardbloomington.com/?utm_source=GoogleMyBusiness,Student housing center,,250 E 14th St,Bloomington,47408,Indiana,39.175974,-86.53160919999999,True
