campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
Brigham Young University,ChIJvzfjLA2XTYcR66z_4bzQOvY,400 Element Apartments,https://400element.com/,Apartment complex,Downtown,61 400 S,Provo,84601,Utah,40.227935,-111.6600193,True
Brigham Young University,ChIJY2VBrHKRTYcR5mRLag2U5uY,High Line Square,https://www.highlinesquare.com/,Apartment building,Franklin,480 N Freedom Blvd,Provo,84601,Utah,40.2274208,-111.6625575,True
Brigham Young University,ChIJfaKlPZyQTYcR1WqRwaxtJ8s,Raintree Commons,https://raintreeapt.com/,Student housing center,Riverside,1849 Freedom Blvd 200 W,Provo,84604,Utah,40.2602665,-111.6627188,True
Brigham Young University,ChIJSQ6-bK2QTYcR9nOMKIyGvJE,Bountiful Court Apartments,http://bountifulcourt.com/,Apartment building,Joaquin,185 300 N,Provo,84606,Utah,40.2382572,-111.6553891,True
Brigham Young University,ChIJBatTk5mQTYcR98pGiqksMvA,Stadium150 Apartments,https://stadium150.com/,Student housing center,Pleasant View,1960 N Canyon Rd,Provo,84604,Utah,40.2598148,-111.6554847,True
Brigham Young University,ChIJbeoNXnGaTYcRP-R0abW2glI,The Crestwood,https://www.crestwoodapts.com/,Student housing center,Carterville,1800 N State St,Provo,84604,Utah,40.2582259,-111.6730361,True
Brigham Young University,ChIJB1Ga862QTYcRspQ_pbjKLRQ,Brittany Apartments,http://brittanyapts.net/,Apartment building,Joaquin,243 E 500 N,Provo,84606,Utah,40.2407348,-111.6547684,False
Brigham Young University,ChIJr1GcipuQTYcR1URBKQLpV6A,Wyview Park,https://housing.byu.edu/secure/services/c_housing_areas/WyviewSingleInfo.aspx,Student housing center,Wyview,"Brigham Young University, 66 1990 N",Provo,84604,Utah,40.26104429999999,-111.6597863,True
Brigham Young University,ChIJ_wceM3SaTYcR5NSItFkWLm4,Carriage Cove Apartments,http://carriagecove.com/,Student housing center,Carterville,606 W 1720 N,Provo,84604,Utah,40.2575887,-111.6694743,True
Brigham Young University,ChIJl9HGMuOZTYcRqwzYs0i0kR4,The Boulders,https://www.boulders-apts.com/?utm_source=GMB,Apartment building,Franklin South,750 S 650 W APT 37,Provo,84601,Utah,40.2227013,-111.6694292,True
Brigham Young University,ChIJO8zMINCQTYcR3dLY9ZLOdk4,Lookout Pointe,http://www.lookoutpointeapts.com/,Apartment complex,Oak Hills,1200 Terrace Dr,Provo,84604,Utah,40.2494196,-111.6307522,True
Brigham Young University,ChIJG_-1pMqQTYcRr_7jIHwVgVs,Centennial II Apartments,https://www.centennial2.com/,Student housing center,Foot Hills,1000 E 450 N,Provo,84606,Utah,40.2396253,-111.6413719,True
Brigham Young University,ChIJ37JLb5mQTYcRMYtVYZyHBSU,Alta Apartments,http://thealtaapartments.com/,Apartment building,,1850 N University Ave,Provo,84604,Utah,40.2596077,-111.6581075,True
Brigham Young University,ChIJ2djU27GQTYcRKo_TFoY5Qvg,The Isles,http://www.islesliving.com/,Furnished apartment building,Joaquin,727 N 300 E #101,Provo,84606,Utah,40.2434818,-111.6535938,True
Brigham Young University,ChIJbeP8tkeXTYcRAkFTzDp_BQQ,Monaco Court Apartments,http://www.monacocourtapartments.com/,Apartment complex,Maeser,485 S State St Unit 206,Provo,84606,Utah,40.2274846,-111.6443923,True
Brigham Young University,ChIJY0d96LGQTYcRtqiJZ3zE1FA,Moon Apartments,http://moonapts.com/,Apartment complex,Joaquin,680 N 300 E,Provo,84606,Utah,40.24267589999999,-111.6529676,False
Brigham Young University,ChIJS3KJ8KWQTYcRVAEj0dmyuw4,CollegePlace Woodland,https://collegeplacewoodland.com/,Student housing center,North Park,36 W 880 N University Ave,Provo,84604,Utah,40.2458413,-111.6591597,True
